"data_pedido","sup","inf","data_limite","id_cliente","cliente_premium","id_pedido"
"2024-03-22 14:07:01.0","21;22;23","21;22;23;24;25;26;27;28","2024-04-03 14:07:01.0","595856",0,57
"2024-03-22 14:07:36.0","11;12;13;14;15","11;12;13;14;15","2024-04-03 14:07:36.0","595856",0,58
"2024-03-22 14:19:29.0","13;14;15","13;14;15","2024-04-03 14:19:29.0","114897",1,59
"2024-03-22 14:37:45.0","13;14;15;16;17","13;14;15;16;17","2024-04-03 14:37:45.0","681247",1,60
"2024-03-22 16:04:02.0","1;2;3;4;5","1;2;3;4;5","2024-04-03 16:04:02.0","882406",0,61
"2024-03-22 16:18:29.0","1;2;3;4;5",,"2024-04-03 16:18:29.0","005665",0,62
"2024-03-22 16:33:38.0","1;2;3;4;5","1;2;3;4;5","2024-04-03 16:33:38.0","786854",0,63
"2024-03-22 16:40:40.0","1;2;3;4;5","1;2;3;4;5","2024-04-03 16:40:40.0","026608",0,64
"2024-03-22 16:51:52.0","1;2;3;4;5","1;2;3;4;5","2024-04-03 16:51:52.0","264254",0,65
"2024-03-22 17:26:52.0","11;12;13;14;15","11;12;13;14;15","2024-04-03 17:26:52.0","480537",1,66
"2024-03-22 17:46:14.0","13;14;15;16;17","13;14;15;16;17","2024-04-03 17:46:14.0","259250",0,67
"2024-03-25 08:31:34.0",,"16;17;18;19;20;21","2024-04-04 08:31:34.0","755281",0,68
"2024-03-25 08:32:07.0","11;12;13;14;15","11;12;13;14;15","2024-04-04 08:32:07.0","755281",0,69
"2024-03-25 08:32:32.0","11;12;13;14;15","11;12;13;14;15","2024-04-04 08:32:32.0","755281",0,70
"2024-03-25 08:42:06.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 08:42:06.0","587402",0,71
"2024-03-25 08:47:44.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 08:47:44.0","587402",0,72
"2024-03-25 08:50:24.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 08:50:24.0","587402",0,73
"2024-03-25 08:52:04.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 08:52:04.0","200083",0,74
"2024-03-25 08:53:09.0",,"12;13;14;15;16","2024-04-04 08:53:09.0","200083",0,75
"2024-03-25 08:55:06.0","16;17;18;19;20","16;17;18;19;20","2024-04-04 08:55:06.0","614391",0,76
"2024-03-25 08:56:34.0","16;17;18;19;20",,"2024-04-04 08:56:34.0","614391",0,77
"2024-03-25 08:59:13.0",,"21;22;23;24;25","2024-04-04 08:59:13.0","992331",0,78
"2024-03-25 09:01:20.0","16;17;18;19;20","16;17;18;19;20","2024-04-04 09:01:20.0","992331",0,79
"2024-03-25 09:02:28.0","9;10;11;12;13","9;10;11;12;13","2024-04-04 09:02:28.0","992331",0,80
"2024-03-25 09:10:54.0","6;7;8;9;10;11;12","6;7;8;9;10;11;12","2024-04-04 09:10:54.0","638033",0,81
"2024-03-25 09:15:48.0","15;16;17","15;16;17;18;19","2024-04-04 09:15:48.0","355134",0,82
"2024-03-25 09:54:00.0","16;17;18;19;20","16;17;18;19;20","2024-04-04 09:54:00.0","826362",0,83
"2024-03-25 11:04:18.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 11:04:18.0","790206",0,84
"2024-03-25 11:10:31.0","21;22;23;24;25","21;22;23;24;25","2024-04-04 11:10:31.0","730249",0,85
"2024-03-25 11:14:25.0","13;14;15","13;14;15;16;17;18","2024-04-04 11:14:25.0","555144",0,86
"2024-03-25 11:47:15.0","13;14;15;16;17","13;14;15;16;17","2024-04-04 11:47:15.0","899870",0,87
"2024-03-25 12:05:04.0","16;17;18;19;20","16;17;18;19;20","2024-04-04 12:05:04.0","073927",1,88
"2024-03-25 12:05:53.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 12:05:53.0","719383",0,89
"2024-03-25 12:06:09.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 12:06:09.0","770214",0,90
"2024-03-25 12:21:55.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 12:21:55.0","659955",0,91
"2024-03-25 12:30:55.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 12:30:55.0","434008",0,92
"2024-03-25 13:00:04.0","11;12;13;14;15;16","11;12;13;14;15;16","2024-04-04 13:00:04.0","479157",1,93
"2024-03-25 13:14:00.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 13:14:00.0","335752",0,94
"2024-03-25 13:31:39.0","11;12;13;14;15","11;12;13;14;15","2024-04-04 13:31:39.0","786915",0,95
"2024-03-25 14:42:53.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 14:42:53.0","882406",0,96
"2024-03-25 15:02:03.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 15:02:03.0","470524",0,97
"2024-03-25 15:47:04.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 15:47:04.0","763178",0,98
"2024-03-25 15:52:27.0",,"11;12;13;14;15","2024-04-04 15:52:27.0","585892",0,99
"2024-03-25 15:53:07.0","11;12;13;14;15","11;12;13;14;15","2024-04-04 15:53:07.0","585892",0,100
"2024-03-25 15:54:11.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 15:54:11.0","470524",0,101
"2024-03-25 16:03:01.0","1",,"2024-04-04 16:03:01.0","446248",0,102
"2024-03-25 16:54:46.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 16:54:46.0","237744",0,103
"2024-03-25 17:00:52.0","1;2;3;4;5;6;7;8;9;10;11;12;13","1;2;3;4;5;6;7;8;9;10;11;12;13","2024-04-08 17:00:52.0","542717",1,104
"2024-03-25 17:16:47.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 17:16:47.0","758699",0,105
"2024-03-25 17:59:46.0","1;2;3;4;5","1;2;3;4;5","2024-04-04 17:59:46.0","094560",0,106
"2024-03-25 18:01:10.0","8;8","11;12;13;14;15","2024-04-04 18:01:10.0","355134",0,107
"2024-03-25 18:11:13.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 18:11:13.0","265193",0,108
"2024-03-25 18:11:54.0","14;15;16;17;18","14;15;16;17;18","2024-04-04 18:11:54.0","020518",0,109
"2024-03-25 20:17:32.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 20:17:32.0","114334",0,110
"2024-03-26 09:27:26.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 09:27:26.0","501474",0,111
"2024-03-26 10:14:32.0","1;2;3;4;5","1;2;3;4;5","2024-04-03 10:14:32.0","348007",1,112
"2024-03-26 10:18:57.0","11;12;13;14;15","11;12;13;14;15","2024-04-05 10:18:57.0","719960",0,113
"2024-03-26 10:20:01.0","5;6;7","5;6;7","2024-04-04 10:20:01.0","719960",0,114
"2024-03-26 10:27:43.0","11;12;13;14;15","11;12;13;14;15","2024-04-05 10:27:43.0","910045",0,115
"2024-03-26 10:29:24.0","11;12;13;14;15","11;12;13;14;15","2024-04-05 10:29:24.0","910045",0,116
"2024-03-26 10:36:58.0","11;12;13;14;15","11;12;13;14;15","2024-04-05 10:36:58.0","332714",0,117
"2024-03-26 10:47:39.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 10:47:39.0","721940",0,118
"2024-03-26 10:58:17.0","6;7;8;9;10","6;7;8;9;10","2024-04-04 00:00:00.0","541945",0,119
"2024-03-26 11:51:40.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 11:51:40.0","667557",1,120
"2024-03-26 13:56:36.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 13:56:36.0","595856",0,121
"2024-03-26 13:57:35.0","14;15;16;17","14;15;16;17","2024-04-05 13:57:35.0","595856",0,122
"2024-03-26 14:01:34.0","5;6;7;8",,"2024-04-05 14:01:34.0","586132",0,123
"2024-03-26 14:58:56.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 14:58:56.0","751693",0,124
"2024-03-26 15:15:26.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 15:15:26.0","175124",0,125
"2024-03-26 15:24:27.0",,"1;2;3;4;5","2024-04-05 15:24:27.0","928430",0,126
"2024-03-26 15:58:00.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 15:58:00.0","729107",1,127
"2024-03-26 15:58:35.0","11;12;13;14","11;12;13;14","2024-04-05 15:58:35.0","483016",0,128
"2024-03-26 15:59:25.0",,"11;12;13;14","2024-04-05 15:59:25.0","501441",0,129
"2024-03-26 17:19:56.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 17:19:56.0","457205",0,130
"2024-03-26 18:00:47.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 18:00:47.0","786854",0,131
"2024-03-26 18:12:41.0","1;2;3;4;5","1;2;3;4;5","2024-04-05 18:12:41.0","271904",0,132
"2024-03-27 09:14:11.0","11;12;13;14;15","11;12;13;14;15","2024-04-08 09:14:11.0","171637",1,133
"2024-03-27 09:55:36.0",,"1;2;3;4;5","2024-04-08 09:55:36.0","841842",0,134
"2024-03-27 10:16:49.0","11;12;13;14;15;16","11;12;13;14;15;16","2024-04-08 10:16:49.0","719960",0,135
"2024-03-27 10:18:52.0","16;17;18;19;20","16;17;18;19;20","2024-04-08 10:18:52.0","698457",1,136
"2024-03-27 11:05:59.0","1;2;3;4;5","1;2;3;4;5","2024-04-02 00:00:00.0","839136",0,137
